Coursename,CRN,Department,CourseID,Section,Level,Credits,Prerequisites,timeslot,Day,Location,Term,Roomtype,Instructor,Capacity
Biology Seminar,91717,BIO,110,4,Undergraduate ,3,,9:10 am - 10:05 am,M,Sheldon Hall 336,Fall2019,Seminar,Susan   Hammerly,30
Biology Seminar,90729,BIO,110,5,Undergraduate ,3,,12:45 pm - 1:40 pm,T,Shineman Center 192,Fall2019,Seminar,Richard C  Back,30
Biology Seminar,92209,BIO,110,6,Undergraduate ,3,,1:50 pm - 2:45 pm,W,Shineman Center 172,Fall2019,Seminar,Susan   Hammerly,30
Biology Seminar,94841,BIO,110,7,Undergraduate ,3,,5:30 pm - 6:25 pm,R,Shineman Center 176,Fall2019,Seminar,Karen R  Sime,30
Biology Seminar,91177,BIO,110,1,Undergraduate ,3,,11:10 am - 12:30 pm,T,Shineman Center 196,Fall2019,Seminar,James A  MacKenzie,30
Biology Seminar,91175,BIO,110,2,Undergraduate ,3,,1:50 pm - 2:45 pm,M,Shineman Center 172,Fall2019,Seminar,Richard C  Back,30
Biology Seminar,90758,BIO,110,3,Undergraduate ,3,,9:10 am - 10:05 am,W,Sheldon Hall 336,Fall2019,Seminar,Maria   Sagot,30
Biology Seminar,91709,BIO,110,4,Undergraduate ,3,,3:00 pm - 3:55 pm,W,Shineman Center 174,Fall2019,Seminar,Richard C  Back,30
Biology Seminar,91708,BIO,110,5,Undergraduate ,3,,11:10 am - 12:30 pm,R,Shineman Center 196,Fall2019,Seminar,James A  MacKenzie,30
Biology Seminar,94812,BIO,110,6,Undergraduate ,3,,11:10 am - 12:05 pm,T,Shineman Center 192,Fall2019,Seminar,Richard C  Back,30
Biology Seminar,94813,BIO,110,7,Undergraduate ,3,,11:10 am - 12:05 pm,R,Shineman Center 178,Fall2019,Seminar,Susan   Hammerly,30
Molecular/Cellular Foundations,91136,BIO,120,1,Undergraduate ,3,,11:30 am - 12:25 pm,MWF,Shineman Center 175,Fall2019,Lecture,Yulia   Artemenko,30
Molecular/Cellular Found Lab,91173,BIO,120,2,Undergraduate ,3,,1:50 pm - 4:50 pm,M,Shineman Center 204,Fall2019,Laboratory,Yulia   Artemenko,30
Molecular/Cellular Found. Lab,91320,BIO,120,3,Undergraduate ,3,,2:20 pm - 5:20 pm,T,Shineman Center 204,Fall2019,Laboratory,Yulia   Artemenko,30
Molecular/Cellular FoundaLAB,92763,BIO,120,4,Undergraduate ,3,,1:50 pm - 4:50 pm,W,Shineman Center 204,Fall2019,Laboratory,Yulia   Artemenko,30
Human Impacts on Environment,94814,BIO,200,5,Undergraduate ,3,,11:30 am - 12:25 pm,MWF,Wilber 311,Fall2019,Lecture,Richard C  Back,30
Human Biology,90407,BIO,203,6,Undergraduate ,3,,7:00 pm - 8:25 pm,MW,Shineman Center 122,Fall2019,Lecture,Cleane L  Medeiros,30
