Coursename,CRN,Department,CourseID,Section,Level,Credits,Prerequisites,timeslot,Day,Location,Term,Roomtype,Instructor,Capacity
Software Engineering Sem:I,11097,CSC,495,3,Undergraduate ,3,,3:00 pm - 4:25 pm,MW,Shineman Center 172,Spring2020,Seminar,Jae Woong   Lee,30
Software Engineering Sem: II,11018,CSC,496,4,Undergraduate ,3,,3:00 pm - 4:25 pm,MW,Shineman Center 172,Spring2020,Seminar,Jae Woong   Lee,30
Planetary Cinema,14278,CSS,123,5,Undergraduate ,3,,2:20 pm - 3:40 pm,TR,Marano Campus Center 211,Spring2020,Lecture,Bennet   Schaber,30
Intro to Cinema Production,11178,CSS,235,6,Undergraduate ,3,,11:10 am - 12:30 pm,TR,Shineman Center 175,Spring2020,Lecture,Joshua   Adams,30
Intro to Cinema Production,13854,CSS,235,7,Undergraduate ,3,,9:35 am - 10:55 am,TR,Shineman Center 175,Spring2020,Lecture,Joshua   Adams,30
Intermediate Cinema Production,11179,CSS,335,1,Undergraduate ,3,,12:45 pm - 2:05 pm,TR,Shineman Center 175,Spring2020,Lecture,Joshua   Adams,30
Film Practicum,13297,CSS,391,2,Undergraduate ,3,,5:00 pm - 7:45 pm,W,Marano Campus Center 323,Spring2020,Practicum,Amy   Shore,30
S:Video Art,12812,CSS,395,3,Undergraduate ,3,,1:50 pm - 2:45 pm,MWF,Marano Campus Center 211,Spring2020,Lecture,Tiffany L  Deater,30
Senior Thesis,11986,CSS,496,4,Undergraduate ,3,,3:55 pm - 5:15 pm,TR,Marano Campus Center 211,Spring2020,Seminar,Bennet   Schaber,30
Senior Thesis,13298,CSS,496,5,Undergraduate ,3,,6:00 pm - 9:00 pm,W,Marano Campus Center 322,Spring2020,Seminar,Tiffany L  Deater,30
Begin Dance Jazz Technique,13002,DNC,116,6,Undergraduate ,3,,12:45 pm - 2:05 pm,TR,Lee Hall 300,Spring2020,Studio,Brett   Bogardus,30
IntermedModern Dance Technique,14244,DNC,212,7,Undergraduate ,3,,2:20 pm - 3:40 pm,TR,Lee Hall 300,Spring2020,Lecture,Brett   Bogardus,30
Intermed. Ballet Technique,12876,DNC,218,1,Undergraduate ,3,,9:35 am - 10:55 am,TR,Lee Hall 300,Spring2020,Lecture,Ligia R  Pinheiro,30
Superintendent Development,A,10503,,2,Graduate ,3,,TBA,TBA,Off Campus ,Spring2020,Lecture,Robert R  Ike,30
Internship-Build/District Lead,10001,EAD,695,3,Graduate ,3,,TBA,TBA,Off Campus ,Spring2020,Internship,Richard   Cavallaro,30
Internship-Build/District Lead,10002,EAD,695,4,Graduate ,3,,TBA,TBA,Off Campus ,Spring2020,Internship,Linda Rae  Markert,30
Internship-Build/District Lead,10003,EAD,695,5,Graduate ,3,,TBA,TBA,Off Campus ,Spring2020,Internship,Terry Lee  Ward,30
Internship-Build/District Lead,10004,EAD,695,6,Graduate ,3,,TBA,TBA,Off Campus ,Spring2020,Internship,Lynne   Erdle,30
Internship-Build/District Lead,10005,EAD,695,7,Graduate ,3,,TBA,TBA,Off Campus ,Spring2020,Internship,Tamara   Lipke,30
Internship-Build/District Lead,11499,EAD,695,1,Graduate ,3,,TBA,TBA,Off Campus ,Spring2020,Internship,Cathleen J  Chamberlain,30
Introduction to Engineering,11221,ECE,101,2,Undergraduate ,3,,9:10 am - 10:05 am,MWF,Shineman Center 185,Spring2020,Lecture,Sungeun   Kim,30
Electric Circuits,13221,ECE,211,3,Undergraduate ,3,,9:10 am - 11:00 am,MWF,Shineman Center 404,Spring2020,Lecture,Adrian   Ieta,30
Signals and Systems,11300,ECE,233,4,Undergraduate ,3,,12:40 pm - 1:35 pm,MWF,Shineman Center 408,Spring2020,Seminar,Mario   Bkassiny,30
Signals and Systems,14121,ECE,233,5,Undergraduate ,3,,2:20 pm - 5:00 pm,R,Shineman Center 408,Spring2020,Laboratory,Mario   Bkassiny,30
Digital Systems,11026,ECE,271,6,Undergraduate ,3,,1:50 pm - 3:40 pm,MWF,Shineman Center 408,Spring2020,Lecture,Marianne   Hromalik,30
Microelectronic Circuits,12697,ECE,314,7,Undergraduate ,3,,1:50 pm - 3:40 pm,MWF,Shineman Center 404,Spring2020,Studio,Adrian   Ieta,30
Power Circuits and Systems,13652,ECE,321,1,Undergraduate ,3,,9:10 am - 11:00 am,MWF,Shineman Center 406,Spring2020,Lecture,Hui   Zhang,30
Electromagnetics,13651,ECE,344,2,Undergraduate ,3,,4:40 pm - 5:35 pm,MWF,Shineman Center 408,Spring2020,Lecture,Sungeun   Kim,30
Control Systems,13223,ECE,365,3,Undergraduate ,3,,2:20 pm - 5:00 pm,TR,Shineman Center 406,Spring2020,Studio,Mustafa   Ayad,30
Microprocessor Applications,11312,ECE,375,4,Undergraduate ,3,,9:35 am - 12:20 pm,TR,Shineman Center 404,Spring2020,Studio,Rachid   Manseur,30
Power Electronics,14122,ECE,421,5,Undergraduate ,3,,12:40 pm - 2:30 pm,MWF,Shineman Center 406,Spring2020,Studio,Hui   Zhang,30
Communications Systems,13653,ECE,454,6,Undergraduate ,3,,8:00 am - 8:55 am,MWF,Shineman Center 408,Spring2020,Studio,Mario   Bkassiny,30
