Coursename,CRN,Department,CourseID,Section,Level,Credits,Prerequisites,timeslot,Day,Location,Term,Roomtype,Instructor,Capacity
Introduction To Mass Media,20110,BRC,108,7,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Michael J  Riecke,30
Media Economics,20098,BRC,301,1,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Brian   Moritz,30
Mass Media and the Law,20117,BRC,319,2,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Jason   Zenor,30
Media and Society,20087,BRC,400,3,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Jennifer   Fogel,30
Chemistry & Public Concern,20120,CHE,209,4,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Fehmi   Damkaci,30
Strategic Communication in Bus,20084,COM,211,5,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Seminar,Rose Marie   Crisalli,30
Rhetoric of Film,20143,COM,375,6,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Seminar,Jessica K  Reeher,30
Communication Ethics,20144,COM,380,7,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Christine M  Hirsch,30
Psy Fnd: Psychopathology,20146,CPS,505,1,Graduate ,3,,10:00 am - 4:30 pm,W,Wilber 203,Summer2019,Lecture,Jason   Duffy,30
Intro to Group Process,20150,CPS,541,2,Graduate ,3,,4:00 pm - 7:40 pm,TR,Sonata 104,Summer2019,Lecture,Sam P  Silvaine,30
Intro to Group Process,20151,CPS,541,3,Graduate ,3,,12:00 pm - 4:00 pm,MW,Wilber 115,Summer2019,Lecture,Daniel   McManus,30
Chem Dependency & Treatment,20152,CPS,560,4,Graduate ,3,,5:00 pm - 8:40 pm,MW,Sonata 104,Summer2019,Lecture,John M  Randall,30
Foundtn of Psy & Edu Appraisal,20153,CPS,585,5,Graduate ,3,,4:00 pm - 7:40 pm,TR,Wilber 115,Summer2019,Lecture,Michael   LeBlanc,30
Wrongful Convictions,20156,CRJ,355,6,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Jeremy J  Shifton,30
Seminar in Criminal Justice,20009,CRJ,401,7,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Jaclyn   Schildkraut,30
Tools for Computing,20158,CSC,101,1,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Michael L  Smith,30
Foundatn of Educationl Inquiry,20161,EDU,501,2,Graduate ,3,,4:00 pm - 7:40 pm,MW,Sonata 107,Summer2019,Lecture,Patricia E  Russo,30
Educational Assessment,20163,EDU,510,3,Graduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Jean E  Hallagan,30
WWW & Multimedia in Education,20166,EDU,511,4,Graduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Harrison   Yang,30
Cont Pro Develop thro Research,20168,EDU,516,5,Graduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Dolores   Grayson,30
Composition II,20288,ENG,102,6,Undergraduate ,3,,1:00 pm - 4:40 pm,TR,Marano Campus Center 223,Summer2019,Lecture,Elizabeth Briande  Bishop,30
Princ. Of Lit. Rep.,20325,ENG,150,7,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Tiffany L  Deater,30
Writing About Literature,20289,ENG,204,1,Undergraduate ,3,,9:00 am - 12:40 pm,TR,Marano Campus Center 223,Summer2019,Lecture,Elizabeth Briande  Bishop,30
Intro Cinema & Screen Studies,20256,ENG,286,2,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Jacob A  Dodd,30
Corporate Finance,20115,FIN,325,3,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Hong   Wan,30
Corporate Finance,20113,FIN,325,4,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Eric   Tsai,30
Elementary French,20261,FRE,101,5,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Lenuta   Giukin,30
Intro to Printmaking,20355,ART,225,6,Undergraduate ,3,,9:00 am - 2:00 pm,MTWRF,Tyler Hall 200,Summer2019,Studio,William   DeMott,30
ST: Mixed Media Drawing,20132,ART,333,7,Undergraduate ,3,,9:00 am - 2:00 pm,MTWRF,Tyler Hall 214,Summer2019,Studio,Richard   Metzgar,30
"Two Dimensional,Experi.Studio",20464,ART,396,1,Undergraduate ,3,,9:00 am - 2:00 pm,MTWRF,Tyler Hall 214,Summer2019,Studio,Richard   Metzgar,30
ST: Mixed Media Drawing,20133,ART,396,2,Undergraduate ,3,,9:00 am - 2:00 pm,MTWRF,Tyler Hall 214,Summer2019,Studio,Richard   Metzgar,30
Adv Problems in Printmaking,20356,ART,425,3,Undergraduate ,3,,9:00 am - 2:00 pm,MTWRF,Tyler Hall 200,Summer2019,Studio,William   DeMott,30
Interpersonal Communication,20111,COM,212,4,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Katherine   Thweatt,30
Message Criticism,20108,COM,302,5,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Jessica K  Reeher,30
Crisis Communication,20092,COM,314,6,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Taejin   Jung,30
The Death Penalty,20008,CRJ,313,7,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Jaclyn   Schildkraut,30
Intro to Criminal Law,20015,CRJ,365,1,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Jeremy J  Shifton,30
Writing into Culture,20280,CRW,250,2,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Robert T.  O'Connor,30
Internship-Build/District Lead,20343,EAD,695,3,Graduate ,3,,TBA,TBA,Off Campus ,Summer2019,Internship,Richard   Cavallaro,30
Internship-Build/District Lead,20344,EAD,695,4,Graduate ,3,,TBA,TBA,Off Campus ,Summer2019,Internship,Cathleen J  Chamberlain,30
Internship-Build/District Lead,20345,EAD,695,5,Graduate ,3,,TBA,TBA,Off Campus ,Summer2019,Internship,Lynne   Erdle,30
Internship-Build/District Lead,20347,EAD,695,6,Graduate ,3,,TBA,TBA,Off Campus ,Summer2019,Internship,Tamara   Lipke,30
Internship-Build/District Lead,20348,EAD,695,7,Graduate ,3,,TBA,TBA,Off Campus ,Summer2019,Internship,Terry Lee  Ward,30
Internship-Build/District Lead,20362,EAD,695,1,Graduate ,3,,TBA,TBA,Off Campus ,Summer2019,Internship,Cathleen J  Chamberlain,30
Modern Culture & Media,20264,ENG,220,2,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Laura A  Halferty,30
Children's Literature,20265,ENG,385,3,Undergraduate ,3,,TBA,TBA,"100% web, no face to face ",Summer2019,Lecture,Laura A  Halferty,30
